ShotMarker Archived Data (generated Jan 18 2025)
Exported 51 strings from Jan 18 of 168 total in archive

Jan 18 2025,Ethan Blackwell open,18,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
Jan 18 2025,unnamed,14,600y,10-0X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:23:47 am,S1,sighter,10,-8,47,-0.33,1.83,-0.05,0.29,-0.02,0.08,616.4,2022,-0.6,-2.7,3.3,
,8:24:06 am,S2,sighter,10,41,-56,1.61,-2.2,0.26,-0.35,0.07,-0.1,618.2,2028,-0.4,-2.9,1.9,
,8:24:27 am,S3,sighter,X,-4,-20,-0.15,-0.8,-0.02,-0.13,-0.01,-0.04,611.8,2007,-0.4,-2.9,4.3,
,8:24:41 am,S4,sighter,X,22,-18,0.85,-0.72,0.14,-0.11,0.04,-0.03,616.2,2022,-0.2,-2.9,2.8,
,8:24:58 am,S5,sighter,10,-44,-41,-1.72,-1.6,-0.27,-0.25,-0.08,-0.07,614.5,2016,-0.1,-2.8,4.7,
,8:25:20 am,1,,10,-36,-26,-1.4,-1.04,-0.22,-0.17,-0.06,-0.05,612.7,2010,-0.3,-2.8,4.3,


Jan 18 2025,by kdd,5,600y,191-3X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:11:17 am,S1,sighter,8,165,18,6.51,0.71,1.04,0.11,0.3,0.03,438.8,1440,-2.7,-3.6,17.3,
,8:13:13 am,1,,9,-111,91,-4.37,3.57,-0.7,0.57,-0.2,0.17,448.1,1470,-1,-3.8,6.8,
,8:14:06 am,2,,8,12,211,0.48,8.31,0.08,1.32,0.02,0.38,445.4,1461,-1.6,-3.2,11.9,
,8:14:38 am,3,,9,9,139,0.35,5.47,0.06,0.87,0.02,0.25,445,1460,-1.5,-3.6,9.1,
,8:15:32 am,4,,9,-61,-110,-2.41,-4.34,-0.38,-0.69,-0.11,-0.2,434.4,1425,-0.8,-3.8,9,
,8:15:56 am,5,,10,61,-38,2.4,-1.52,0.38,-0.24,0.11,-0.07,442.1,1450,-1.9,-3.8,10.3,
,8:16:29 am,6,,10,-12,-65,-0.47,-2.55,-0.08,-0.41,-0.02,-0.12,445.1,1460,-1.4,-3.8,8.6,
,8:16:59 am,7,,10,49,-61,1.92,-2.4,0.31,-0.38,0.09,-0.11,441.6,1449,-1.9,-3.8,12.1,
,8:17:31 am,8,,10,45,21,1.76,0.84,0.28,0.13,0.08,0.04,448.5,1471,-1.8,-3.6,9.7,
,8:17:58 am,9,,9,28,-112,1.11,-4.41,0.18,-0.7,0.05,-0.2,440.9,1447,-1.5,-3.6,3.8,
,8:18:31 am,10,,10,-25,35,-1,1.39,-0.16,0.22,-0.05,0.06,443.4,1455,-1.5,-3.8,9.3,
,8:19:15 am,11,,9,-123,65,-4.86,2.56,-0.77,0.41,-0.23,0.12,446,1463,-0.6,-3.8,6.9,
,8:19:56 am,12,,10,-53,-42,-2.09,-1.66,-0.33,-0.26,-0.1,-0.08,444.7,1459,-1,-3.9,9.5,
,8:20:27 am,13,,X,-36,12,-1.41,0.48,-0.22,0.08,-0.07,0.02,447.6,1469,-1.3,-3.8,7.1,
,8:20:53 am,14,,10,-14,54,-0.57,2.13,-0.09,0.34,-0.03,0.1,445.7,1462,-1.6,-3.8,10.7,
,8:21:18 am,15,,10,72,-22,2.84,-0.86,0.45,-0.14,0.13,-0.04,440.5,1445,-2,-3.7,12.3,
,8:21:47 am,16,,10,-64,26,-2.51,1.02,-0.4,0.16,-0.12,0.05,440.2,1444,-1.8,-3.6,11.2,
,8:22:17 am,17,,9,-83,9,-3.26,0.33,-0.52,0.05,-0.15,0.02,442.9,1453,-0.8,-3.8,7.8,
,8:22:48 am,18,,9,76,-83,2.98,-3.28,0.47,-0.52,0.14,-0.15,440.5,1445,-1.7,-3.9,9.4,
,8:23:19 am,19,,X,1,-6,0.05,-0.22,0.01,-0.04,0,-0.01,440.3,1445,-1.5,-3.6,10.2,
,8:23:47 am,20,,X,1,22,0.06,0.87,0.01,0.14,0,0.04,443.2,1454,-1.5,-3.7,9,

,,,,avg:,-11,7,-0.45,0.29,-0.07,0.05,-0.02,0.01,443.3,1454.4,-1.4,-3.7,9.2,
,,,,SD:,56.9,78.9,2.24,3.11,0.36,0.49,0.1,0.14,3.3,10.8,0.38,0.17,2,

Jan 18 2025,unnamed,4,600y,84-2X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:05:33 am,S1,sighter,10,-46,20,-1.82,0.79,-0.29,0.13,-0.08,0.04,589.9,1935,-2,-2.5,,
,8:06:24 am,S2,sighter,8,-87,172,-3.44,6.76,-0.55,1.08,-0.16,0.31,587.1,1926,-1.3,-2.4,,
,8:08:33 am,S3,sighter,9,-97,78,-3.83,3.07,-0.61,0.49,-0.18,0.14,588.9,1932,-1.4,-2.5,,
,8:09:22 am,S4,sighter,9,-49,95,-1.91,3.73,-0.3,0.59,-0.09,0.17,591.7,1941,-2.1,-2.2,,
,8:09:53 am,S5,sighter,X,-13,-11,-0.51,-0.44,-0.08,-0.07,-0.02,-0.02,588.3,1930,-2.2,-2.5,,
,8:10:34 am,S6,sighter,X,-27,26,-1.07,1.02,-0.17,0.16,-0.05,0.05,592.4,1944,-2.1,-2.6,,
,8:11:13 am,S7,sighter,9,-30,127,-1.2,5,-0.19,0.8,-0.06,0.23,590,1936,-2.5,-2,,
,8:11:44 am,S8,sighter,10,-13,70,-0.5,2.76,-0.08,0.44,-0.02,0.13,594.8,1951,-2.4,-2.1,,
,8:13:19 am,S9,sighter,X,-12,-9,-0.46,-0.36,-0.07,-0.06,-0.02,-0.02,587.8,1928,-1.7,-2.8,,
