ShotMarker Archived Data (generated Jan 07 2025)
Exported 53 strings from Jan 07 of 53 total in archive

Jan 07 2025,Alex Thompson open,16,600y,200-14X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:50:48 pm,5,,10,-99,88,-3.89,3.46,-0.62,0.55,-0.18,0.16,590.5,1937,2.6,1,,
,6:51:20 pm,6,,10,-27,110,-1.06,4.33,-0.17,0.69,-0.05,0.2,594.1,1949,2.7,0.7,,
,6:52:08 pm,7,,10,-141,-56,-5.57,-2.2,-0.89,-0.35,-0.26,-0.1,582.7,1912,2.4,0.2,,
,6:52:37 pm,8,,9,-188,-36,-7.4,-1.44,-1.18,-0.23,-0.34,-0.07,590.6,1938,2.7,0.3,,
,6:53:15 pm,9,,9,-195,-39,-7.68,-1.52,-1.22,-0.24,-0.36,-0.07,579.8,1902,2.7,0.1,,
,6:53:51 pm,10,,9,-220,-7,-8.66,-0.28,-1.38,-0.05,-0.4,-0.01,582.9,1912,2.7,0.4,,
,6:54:29 pm,11,,X,-17,17,-0.68,0.67,-0.11,0.11,-0.03,0.03,588.8,1932,2.5,0.6,,
,6:55:31 pm,12,,10,92,-21,3.63,-0.84,0.58,-0.13,0.17,-0.04,591.1,1939,2.5,0.2,,
,6:56:01 pm,13,,10,92,30,3.63,1.19,0.58,0.19,0.17,0.05,591,1939,2.5,0.6,,
,6:56:32 pm,14,,X,-30,-2,-1.19,-0.06,-0.19,-0.01,-0.06,0,587,1926,2.4,0.4,,
,6:57:09 pm,15,,X,-57,39,-2.24,1.55,-0.36,0.25,-0.1,0.07,583,1913,2.1,0.5,,
,6:57:37 pm,16,,10,74,37,2.9,1.46,0.46,0.23,0.13,0.07,588.8,1932,2.5,0.6,,
,6:58:06 pm,17,,10,-65,-74,-2.55,-2.93,-0.41,-0.47,-0.12,-0.14,583.2,1913,2.3,0.3,,
,6:58:41 pm,18,,X,1,-24,0.03,-0.96,0,-0.15,0,-0.04,583.3,1914,2.4,0.5,,
,6:59:21 pm,19,,X,20,17,0.78,0.67,0.12,0.11,0.04,0.03,593.7,1948,2.7,0.7,,
,7:00:01 pm,20,,X,-61,-29,-2.41,-1.13,-0.38,-0.18,-0.11,-0.05,584.8,1919,2.3,0.2,,

,,,,avg:,-37,12,-1.47,0.45,-0.23,0.07,-0.07,0.02,587.2,1926.4,2.5,0.5,0.2,
,,,,SD:,95.2,53.6,3.75,2.11,0.6,0.34,0.17,0.1,4.11,13.5,0.16,0.22,0.1,

Jan 07 2025,Claudia Wolf ftr,8,600y,194-6X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:41:48 pm,S1,sighter,8,-112,134,-4.41,5.28,-0.7,0.84,-0.2,0.24,475.3,1559,0.8,-1.9,1.2,
,6:42:15 pm,S2,sighter,9,48,124,1.89,4.89,0.3,0.78,0.09,0.23,485.3,1592,0.1,-1.7,4.9,
,6:43:07 pm,S3,sighter,9,-19,84,-0.74,3.31,-0.12,0.53,-0.03,0.15,485.3,1592,0.7,-1.9,2.2,
,6:43:49 pm,S4,sighter,X,-8,37,-0.33,1.47,-0.05,0.23,-0.02,0.07,480.8,1577,1,-2.2,0.4,
,6:44:38 pm,1,,9,20,114,0.8,4.47,0.13,0.71,0.04,0.21,482.1,1582,0.6,-1.9,3.3,
