ShotMarker Archived Data (generated Jan 28 2025)
Exported 42 strings from Jan 28 of 262 total in archive

Jan 28 2025,Ethan Blackwood F Open,8,600y,200-16X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:28:09 pm,18,,X,-35,8,-1.38,0.3,-0.22,0.05,-0.06,0.01,574.8,1886,2.5,-0.7,10.6,
,6:28:36 pm,19,,X,-9,10,-0.34,0.41,-0.05,0.06,-0.02,0.02,575.6,1888,2.4,-0.5,11,
,6:28:59 pm,20,,X,-16,-6,-0.65,-0.24,-0.1,-0.04,-0.03,-0.01,554.3,1819,0.4,-1.6,,

,,,,avg:,-4,-41,-0.16,-1.61,-0.03,-0.26,-0.01,-0.07,570.1,1870.3,1.4,-1,10.3,
,,,,SD:,44.9,43.7,1.77,1.72,0.28,0.27,0.08,0.08,7.65,25.1,1.22,0.63,7.7,

Jan 28 2025,Stefanie Pace Open,7,600y,196-5X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:22:07 pm,1,,10,17,-39,0.67,-1.52,0.11,-0.24,0.03,-0.07,612.1,2008,-3.3,-2.2,,
,6:22:28 pm,2,,10,-13,-64,-0.51,-2.51,-0.08,-0.4,-0.02,-0.12,618.3,2029,-3,-2.2,,
,6:22:45 pm,3,,9,24,-78,0.95,-3.06,0.15,-0.49,0.04,-0.14,619.1,2031,-3.1,-2.3,,
,6:23:06 pm,4,,10,-3,-55,-0.11,-2.17,-0.02,-0.34,-0.01,-0.1,606.5,1990,-2.6,-2.2,,
,6:23:24 pm,5,,10,36,-42,1.41,-1.67,0.22,-0.27,0.07,-0.08,611,2005,-3.4,-2,,
,6:23:43 pm,6,,10,72,-15,2.83,-0.58,0.45,-0.09,0.13,-0.03,609.8,2001,-3.4,-2,,
,6:24:03 pm,7,,10,-55,-23,-2.18,-0.91,-0.35,-0.15,-0.1,-0.04,603.4,1980,-2.8,-2.1,,
,6:24:34 pm,8,,10,24,55,0.93,2.17,0.15,0.35,0.04,0.1,619.3,2032,-3.6,-1.7,,
,6:24:54 pm,9,,X,-22,-24,-0.87,-0.96,-0.14,-0.15,-0.04,-0.04,607.5,1993,-2.3,-2.1,,
,6:25:17 pm,10,,10,-47,-7,-1.86,-0.28,-0.3,-0.04,-0.09,-0.01,618.5,2029,-2.8,-2,,
,6:25:33 pm,11,,X,27,-17,1.07,-0.67,0.17,-0.11,0.05,-0.03,622.9,2044,-4.2,-1.6,,
,6:25:50 pm,12,,10,-34,34,-1.35,1.35,-0.22,0.22,-0.06,0.06,621.7,2040,-3.4,-1.8,,
,6:26:06 pm,13,,X,-12,-21,-0.47,-0.83,-0.08,-0.13,-0.02,-0.04,616.6,2023,-3,-2,,
,6:26:21 pm,14,,X,-40,1,-1.56,0.03,-0.25,0,-0.07,0,618,2028,-2.9,-2,,
,6:26:42 pm,15,,X,-29,-3,-1.15,-0.11,-0.18,-0.02,-0.05,-0.01,614.2,2015,-2.6,-2.1,,
,6:26:57 pm,16,,9,-82,24,-3.24,0.96,-0.52,0.15,-0.15,0.04,614.8,2017,-2.7,-2.2,,
